Year,City,Population,Violent Crime Total,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime Total,Burglary,Larceny-Theft,Motor Vehicle Theft,Violent Crime Rate,Murder and Nonnegligent Manslaughter Rate,Rape Rate,Robbery Rate,Aggravated Assault Rate,Property Crime Rate,Burglary Rate,Larceny-Theft Rate,Motor Vechicle Theft Rate
"2005","Corpus Christi, TX","285,821","2,048","8","217","481","1,342","20,133","3,357","15,870","906","716.5","2.8","75.9","168.3","469.5","7,043.9","1,174.5","5,552.4","317.0"
"2006","Corpus Christi, TX","291,507","2,070","21","167","468","1,414","19,138","3,005","15,261","872","710.1","7.2","57.3","160.5","485.1","6,565.2","1,030.9","5,235.2","299.1"
"2007","Corpus Christi, TX","286,428","2,367","17","238","497","1,615","18,732","3,407","14,501","824","826.4","5.9","83.1","173.5","563.8","6,539.9","1,189.5","5,062.7","287.7"
"2008","Corpus Christi, TX","286,558","2,226","19","192","490","1,525","17,652","3,464","13,503","685","776.8","6.6","67.0","171.0","532.2","6,160.0","1,208.8","4,712.1","239.0"
"2009","Corpus Christi, TX","287,507","2,365","12","212","459","1,682","16,112","2,976","12,538","598","822.6","4.2","73.7","159.6","585.0","5,604.0","1,035.1","4,360.9","208.0"
"2010","Corpus Christi, TX","305,215","2,068","16","191","389","1,472","15,101","2,626","12,027","448","677.6","5.2","62.6","127.5","482.3","4,947.7","860.4","3,940.5","146.8"
"2011","Corpus Christi, TX","311,637","1,987","12","194","370","1,411","14,897","2,668","11,762","467","637.6","3.9","62.3","118.7","452.8","4,780.2","856.1","3,774.3","149.9"
"2012","Corpus Christi, TX","312,565","2,057","16","184","375","1,482","14,061","2,452","11,166","443","658.1","5.1","58.9","120.0","474.1","4,498.6","784.5","3,572.4","141.7"
"2013","Corpus Christi, TX","314,523","1,939","18","147","390","1,384","14,601","2,595","11,519","487","616.5","5.7","46.7","124.0","440.0","4,642.3","825.1","3,662.4","154.8"
"2014","Corpus Christi, TX","319,211","2,094","27","280","377","1,410","14,110","2,316","11,233","561","656.0","8.5","87.7","118.1","441.7","4,420.3","725.5","3,519.0","175.7"
"2001","Laredo, TX","180,583","1,121","8","39","200","874","11,935","1,791","9,125","1,019","620.8","4.4","21.6","110.8","484.0","6,609.1","991.8","5,053.1","564.3"
"2002","Laredo, TX","184,435","1,107","7","58","203","839","11,845","1,898","9,064","883","600.2","3.8","31.4","110.1","454.9","6,422.3","1,029.1","4,914.5","478.8"
"2003","Laredo, TX","194,516","1,317","29","55","257","976","13,573","1,975","10,619","979","677.1","14.9","28.3","132.1","501.8","6,977.8","1,015.3","5,459.2","503.3"
"2004","Laredo, TX","200,805","1,088","15","52","220","801","13,397","2,064","10,304","1,029","541.8","7.5","25.9","109.6","398.9","6,671.6","1,027.9","5,131.3","512.4"
"2005","Laredo, TX","206,555","1,054","18","64","246","726","12,462","1,552","9,953","957","510.3","8.7","31.0","119.1","351.5","6,033.3","751.4","4,818.6","463.3"
"2006","Laredo, TX","214,670","1,198","22","96","266","814","12,511","1,643","9,661","1,207","558.1","10.2","44.7","123.9","379.2","5,828.0","765.4","4,500.4","562.3"
"2007","Laredo, TX","221,253","1,281","10","81","325","865","13,949","1,878","10,534","1,537","579.0","4.5","36.6","146.9","391.0","6,304.5","848.8","4,761.1","694.7"
"2008","Laredo, TX","222,870","1,357","10","78","311","958","14,340","2,091","10,522","1,727","608.9","4.5","35.0","139.5","429.8","6,434.2","938.2","4,721.1","774.9"
"2009","Laredo, TX","226,944","1,294","17","73","309","895","13,725","2,164","10,077","1,484","570.2","7.5","32.2","136.2","394.4","6,047.7","953.5","4,440.3","653.9"
"2010","Laredo, TX","236,091","1,142","9","78","209","846","11,464","1,821","8,740","903","483.7","3.8","33.0","88.5","358.3","4,855.8","771.3","3,702.0","382.5"
"2011","Laredo, TX","241,059","1,120","11","76","215","818","10,419","1,790","8,143","486","464.6","4.6","31.5","89.2","339.3","4,322.2","742.6","3,378.0","201.6"
"2012","Laredo, TX","245,558","1,036","8","81","183","764","10,685","1,718","8,586","381","421.9","3.3","33.0","74.5","311.1","4,351.3","699.6","3,496.5","155.2"
"2013","Laredo, TX","247,353","1,027","3","75","207","742","10,482","1,425","8,685","372","415.2","1.2","30.3","83.7","300.0","4,237.7","576.1","3,511.2","150.4"
"2014","Laredo, TX","250,994","976","14","99","196","667","9,687","1,267","8,144","276","388.9","5.6","39.4","78.1","265.7","3,859.5","504.8","3,244.7","110.0"
"2001","Plano, TX","227,069","588","4","23","113","448","8,399","1,417","6,440","542","259.0","1.8","10.1","49.8","197.3","3,698.9","624.0","2,836.1","238.7"
"2002","Plano, TX","231,912","669","6","40","145","478","8,351","1,326","6,505","520","288.5","2.6","17.2","62.5","206.1","3,600.9","571.8","2,804.9","224.2"
"2003","Plano, TX","241,793","709","5","48","134","522","9,453","1,527","7,254","672","293.2","2.1","19.9","55.4","215.9","3,909.5","631.5","3,000.1","277.9"
"2004","Plano, TX","246,056","649","5","45","141","458","8,603","1,346","6,716","541","263.8","2.0","18.3","57.3","186.1","3,496.4","547.0","2,729.5","219.9"
"2005","Plano, TX","249,448","730","2","55","120","553","8,700","1,362","6,736","602","292.6",".8","22.0","48.1","221.7","3,487.7","546.0","2,700.4","241.3"
"2006","Plano, TX","257,183","738","4","41","154","539","8,586","1,391","6,627","568","287.0","1.6","15.9","59.9","209.6","3,338.5","540.9","2,576.8","220.9"
"2007","Plano, TX","259,771","670","2","51","160","457","7,964","1,380","6,162","422","257.9",".8","19.6","61.6","175.9","3,065.8","531.2","2,372.1","162.5"
"2008","Plano, TX","265,739","605","7","48","144","406","8,123","1,526","6,184","413","227.7","2.6","18.1","54.2","152.8","3,056.8","574.2","2,327.1","155.4"
"2009","Plano, TX","272,747","471","4","46","141","280","8,018","1,481","6,067","470","172.7","1.5","16.9","51.7","102.7","2,939.7","543.0","2,224.4","172.3"
"2010","Plano, TX","259,841","484","4","52","152","276","6,737","1,237","5,113","387","186.3","1.5","20.0","58.5","106.2","2,592.7","476.1","1,967.7","148.9"
"2011","Plano, TX","265,309","429","5","40","142","242","6,764","1,193","5,182","389","161.7","1.9","15.1","53.5","91.2","2,549.5","449.7","1,953.2","146.6"
"2012","Plano, TX","273,816","358","1","55","110","192","6,453","1,095","5,043","315","130.7",".4","20.1","40.2","70.1","2,356.7","399.9","1,841.7","115.0"
"2013","Plano, TX","275,795","407","3","92","109","203","5,993","947","4,794","252","147.6","1.1","33.4","39.5","73.6","2,173.0","343.4","1,738.2","91.4"
"2014","Plano, TX","277,822","459","4","80","156","219","5,508","826","4,390","292","165.2","1.4","28.8","56.2","78.8","1,982.6","297.3","1,580.1","105.1"
"2001","Virginia Beach, VA","431,819","840","12","111","368","349","15,325","2,290","12,102","933","194.5","2.8","25.7","85.2","80.8","3,548.9","530.3","2,802.6","216.1"
"2002","Virginia Beach, VA","438,175","960","3","138","443","376","15,127","2,290","11,991","846","219.1",".7","31.5","101.1","85.8","3,452.3","522.6","2,736.6","193.1"
"2003","Virginia Beach, VA","439,454","932","24","121","409","378","14,594","2,140","11,647","807","212.1","5.5","27.5","93.1","86.0","3,320.9","487.0","2,650.3","183.6"
"2004","Virginia Beach, VA","443,840","1,006","15","141","478","372","13,553","1,775","11,014","764","226.7","3.4","31.8","107.7","83.8","3,053.6","399.9","2,481.5","172.1"
"2005","Virginia Beach, VA","446,448","1,138","19","97","621","401","13,362","2,215","10,392","755","254.9","4.3","21.7","139.1","89.8","2,993.0","496.1","2,327.7","169.1"
"2006","Virginia Beach, VA","442,784","1,255","19","116","676","444","12,895","2,056","10,241","598","283.4","4.3","26.2","152.7","100.3","2,912.3","464.3","2,312.9","135.1"
"2007","Virginia Beach, VA","435,943","1,084","16","85","552","431","13,096","2,165","10,341","590","248.7","3.7","19.5","126.6","98.9","3,004.1","496.6","2,372.1","135.3"
"2008","Virginia Beach, VA","434,163","1,040","14","73","529","424","12,654","1,929","10,082","643","239.5","3.2","16.8","121.8","97.7","2,914.6","444.3","2,322.2","148.1"
"2009","Virginia Beach, VA","436,175","896","19","66","448","363","13,421","2,043","10,812","566","205.4","4.4","15.1","102.7","83.2","3,077.0","468.4","2,478.8","129.8"
"2010","Virginia Beach, VA","437,994","831","14","53","429","335","13,325","2,164","10,501","660","189.7","3.2","12.1","97.9","76.5","3,042.3","494.1","2,397.5","150.7"
"2011","Virginia Beach, VA","443,226","776","15","60","412","289","12,133","2,038","9,645","450","175.1","3.4","13.5","93.0","65.2","2,737.4","459.8","2,176.1","101.5"
"2012","Virginia Beach, VA","447,588","758","21","58","326","353","11,717","1,573","9,662","482","169.4","4.7","13.0","72.8","78.9","2,617.8","351.4","2,158.7","107.7"
"2013","Virginia Beach, VA","450,687","738","17","147","305","269","11,269","1,409","9,413","447","163.8","3.8","32.6","67.7","59.7","2,500.4","312.6","2,088.6","99.2"
"2014","Virginia Beach, VA","451,102","667","17","115","250","285","9,865","1,051","8,448","366","147.9","3.8","25.5","55.4","63.2","2,186.9","233.0","1,872.7","81.1"
"2001","Tucson, AZ","503,461","4,823","42","321","1,698","2,762","44,934","6,553","31,217","7,164","958.0","8.3","63.8","337.3","548.6","8,925.0","1,301.6","6,200.5","1,423.0"
"2002","Tucson, AZ","517,607","4,709","47","338","1,350","2,974","45,462","6,717","32,539","6,206","909.8","9.1","65.3","260.8","574.6","8,783.1","1,297.7","6,286.4","1,199.0"
"2003","Tucson, AZ","514,618","4,709","47","330","1,478","2,854","47,298","6,397","34,542","6,359","915.0","9.1","64.1","287.2","554.6","9,190.9","1,243.1","6,712.2","1,235.7"
"2004","Tucson, AZ","522,487","4,873","55","387","1,552","2,879","47,044","6,302","34,404","6,338","932.7","10.5","74.1","297.0","551.0","9,003.9","1,206.2","6,584.7","1,213.0"
"2005","Tucson, AZ","529,447","5,048","55","378","1,685","2,930","31,299","5,130","19,642","6,527","953.4","10.4","71.4","318.3","553.4","5,911.6","968.9","3,709.9","1,232.8"
"2006","Tucson, AZ","535,232","4,580","51","294","1,675","2,560","","5,121","","7,376","855.7","9.5","54.9","312.9","478.3","","956.8","","1,378.1"
"2007","Tucson, AZ","523,299","4,103","49","277","1,432","2,345","","4,787","","6,767","784.1","9.4","52.9","273.6","448.1","","914.8","","1,293.1"
"2008","Tucson, AZ","528,917","4,252","65","246","1,451","2,490","","5,157","","5,808","803.9","12.3","46.5","274.3","470.8","","975.0","","1,098.1"
"2009","Tucson, AZ","547,981","3,560","35","204","1,246","2,075","","5,062","","3,564","649.7","6.4","37.2","227.4","378.7","","923.8","","650.4"
"2010","Tucson, AZ","520,116","3,331","51","158","1,088","2,034","","5,002","","3,433","640.4","9.8","30.4","209.2","391.1","","961.7","","660.0"
"2011","Tucson, AZ","527,479","3,440","51","204","1,163","2,022","","4,979","","2,746","652.2","9.7","38.7","220.5","383.3","","943.9","","520.6"
"2012","Tucson, AZ","531,535","3,851","43","234","1,260","2,314","","5,021","","2,499","724.5","8.1","44.0","237.0","435.3","","944.6","","470.1"
"2013","Tucson, AZ","525,486","3,368","47","216","1,002","2,103","","4,957","","2,190","640.9","8.9","41.1","190.7","400.2","","943.3","","416.8"
"2014","Tucson, AZ","527,328","3,443","35","399","988","2,021","","4,247","","1,823","652.9","6.6","75.7","187.4","383.3","","805.4","","345.7"
"2001","Fresno, CA","435,600","4,096","40","202","1,362","2,492","30,585","5,203","18,398","6,984","940.3","9.2","46.4","312.7","572.1","7,021.3","1,194.4","4,223.6","1,603.3"
"2002","Fresno, CA","443,363","3,780","42","158","1,479","2,101","30,129","4,476","18,478","7,175","852.6","9.5","35.6","333.6","473.9","6,795.6","1,009.6","4,167.7","1,618.3"
"2003","Fresno, CA","449,898","3,505","37","164","1,215","2,089","27,196","3,927","17,608","5,661","779.1","8.2","36.5","270.1","464.3","6,044.9","872.9","3,913.8","1,258.3"
"2004","Fresno, CA","456,663","3,496","53","181","1,232","2,030","26,360","3,994","17,119","5,247","765.6","11.6","39.6","269.8","444.5","5,772.3","874.6","3,748.7","1,149.0"
"2005","Fresno, CA","460,758","3,897","49","149","1,275","2,424","25,546","4,170","16,088","5,288","845.8","10.6","32.3","276.7","526.1","5,544.3","905.0","3,491.6","1,147.7"
"2006","Fresno, CA","465,269","3,524","52","133","1,282","2,057","23,407","4,366","14,097","4,944","757.4","11.2","28.6","275.5","442.1","5,030.9","938.4","3,029.9","1,062.6"
"2007","Fresno, CA","472,170","3,043","52","99","1,104","1,788","20,969","3,897","13,049","4,023","644.5","11.0","21.0","233.8","378.7","4,441.0","825.3","2,763.6","852.0"
"2008","Fresno, CA","475,723","2,782","40","80","984","1,678","22,056","4,173","14,106","3,777","584.8","8.4","16.8","206.8","352.7","4,636.3","877.2","2,965.2","793.9"
"2009","Fresno, CA","481,370","2,933","42","86","1,085","1,720","21,030","4,423","13,359","3,248","609.3","8.7","17.9","225.4","357.3","4,368.8","918.8","2,775.2","674.7"
"2010","Fresno, CA","494,665","3,034","45","70","1,021","1,898","24,460","5,262","14,645","4,553","613.3","9.1","14.2","206.4","383.7","4,944.8","1,063.8","2,960.6","920.4"
"2011","Fresno, CA","500,480","2,915","35","51","1,020","1,809","25,421","5,713","14,928","4,780","582.4","7.0","10.2","203.8","361.5","5,079.3","1,141.5","2,982.7","955.1"
"2012","Fresno, CA","506,011","2,748","51","54","1,015","1,628","25,737","5,902","15,534","4,301","543.1","10.1","10.7","200.6","321.7","5,086.3","1,166.4","3,069.9","850.0"
"2013","Fresno, CA","508,876","2,552","40","53","903","1,556","22,584","5,223","13,304","4,057","501.5","7.9","10.4","177.4","305.8","4,438.0","1,026.4","2,614.4","797.2"
"2014","Fresno, CA","513,187","2,382","47","53","781","1,501","21,101","4,721","13,277","3,103","464.2","9.2","10.3","152.2","292.5","4,111.8","919.9","2,587.2","604.7"
"2001","San Francisco, CA","791,168","5,094","49","171","2,811","2,063","27,799","4,742","18,304","4,753","","","","","","","","",""
"2002","San Francisco, CA","805,269","6,059","68","210","3,208","2,573","36,612","5,947","24,468","6,197","752.4","8.4","26.1","398.4","319.5","4,546.6","738.5","3,038.5","769.6"
"2003","San Francisco, CA","772,065","5,725","69","215","3,065","2,376","38,163","5,784","25,388","6,991","741.5","8.9","27.8","397.0","307.7","4,943.0","749.2","3,288.3","905.5"
"2004","San Francisco, CA","760,353","5,757","88","152","3,041","2,476","35,869","6,097","21,711","8,061","757.1","11.6","20.0","399.9","325.6","4,717.4","801.9","2,855.4","1,060.2"
"2005","San Francisco, CA","749,172","5,985","96","172","3,078","2,639","34,269","6,208","19,887","8,174","798.9","12.8","23.0","410.9","352.3","4,574.2","828.6","2,654.5","1,091.1"
"2006","San Francisco, CA","746,085","6,533","86","154","3,858","2,435","36,992","6,465","23,891","6,636","875.6","11.5","20.6","517.1","326.4","4,958.1","866.5","3,202.2","889.4"
"2007","San Francisco, CA","733,799","6,414","100","125","3,771","2,418","34,456","5,079","23,474","5,903","874.1","13.6","17.0","513.9","329.5","4,695.6","692.2","3,199.0","804.4"
"2008","San Francisco, CA","798,144","6,744","98","166","4,108","2,372","36,301","5,401","25,142","5,758","845.0","12.3","20.8","514.7","297.2","4,548.2","676.7","3,150.1","721.4"
"2009","San Francisco, CA","809,755","5,957","45","179","3,423","2,310","34,509","5,197","24,399","4,913","735.7","5.6","22.1","422.7","285.3","4,261.7","641.8","3,013.1","606.7"
"2010","San Francisco, CA","805,235","5,747","48","133","3,180","2,386","32,365","4,557","23,905","3,903","713.7","6.0","16.5","394.9","296.3","4,019.3","565.9","2,968.7","484.7"
"2011","San Francisco, CA","814,701","5,374","50","131","3,088","2,105","32,886","4,408","24,304","4,174","659.6","6.1","16.1","379.0","258.4","4,036.6","541.1","2,983.2","512.3"
"2012","San Francisco, CA","820,363","5,777","69","108","3,484","2,116","38,898","5,317","28,242","5,339","704.2","8.4","13.2","424.7","257.9","4,741.6","648.1","3,442.6","650.8"
"2013","San Francisco, CA","833,863","7,064","48","161","4,202","2,653","48,324","5,931","36,527","5,866","847.1","5.8","19.3","503.9","318.2","5,795.2","711.3","4,380.5","703.5"
"2014","San Francisco, CA","850,294","6,761","45","355","3,224","3,137","45,093","5,237","33,730","6,126","795.1","5.3","41.8","379.2","368.9","5,303.2","615.9","3,966.9","720.5"
"2001","Denver, CO","569,653","3,074","45","317","1,250","1,462","27,198","5,642","14,621","6,935","539.6","7.9","55.6","219.4","256.6","4,774.5","990.4","2,566.7","1,217.4"
"2002","Denver, CO","581,105","3,104","51","321","1,191","1,541","28,921","6,099","15,380","7,442","534.2","8.8","55.2","205.0","265.2","4,976.9","1,049.6","2,646.7","1,280.7"
"2003","Denver, CO","565,905","3,531","63","304","1,421","1,743","29,064","7,097","14,839","7,128","624.0","11.1","53.7","251.1","308.0","5,135.8","1,254.1","2,622.2","1,259.6"
"2004","Denver, CO","563,688","4,490","87","243","1,442","2,718","30,450","7,322","15,590","7,538","796.5","15.4","43.1","255.8","482.2","5,401.9","1,298.9","2,765.7","1,337.3"
"2005","Denver, CO","564,552","4,493","59","327","1,432","2,675","33,899","7,360","18,522","8,017","795.9","10.5","57.9","253.7","473.8","6,004.6","1,303.7","3,280.8","1,420.1"
"2006","Denver, CO","568,465","4,324","51","342","1,280","2,651","26,239","6,533","13,369","6,337","760.6","9.0","60.2","225.2","466.3","4,615.8","1,149.2","2,351.8","1,114.8"
"2007","Denver, CO","573,387","3,528","47","294","1,039","2,148","22,398","5,691","11,594","5,113","615.3","8.2","51.3","181.2","374.6","3,906.3","992.5","2,022.0","891.7"
"2008","Denver, CO","592,881","3,359","40","282","956","2,081","19,348","5,168","10,595","3,585","566.6","6.7","47.6","161.2","351.0","3,263.4","871.7","1,787.0","604.7"
"2009","Denver, CO","604,680","3,473","35","341","931","2,166","20,867","4,755","12,626","3,486","574.4","5.8","56.4","154.0","358.2","3,450.9","786.4","2,088.0","576.5"
"2010","Denver, CO","600,158","3,387","28","371","943","2,045","20,686","4,505","12,951","3,230","564.4","4.7","61.8","157.1","340.7","3,446.8","750.6","2,157.9","538.2"
"2011","Denver, CO","610,612","3,708","34","396","1,143","2,135","22,495","4,868","14,040","3,587","607.3","5.6","64.9","187.2","349.6","3,684.0","797.2","2,299.3","587.4"
"2012","Denver, CO","628,545","3,871","39","376","1,165","2,291","23,343","5,129","14,544","3,670","615.9","6.2","59.8","185.3","364.5","3,713.8","816.0","2,313.9","583.9"
"2013","Denver, CO","648,981","4,093","41","519","1,133","2,400","23,755","4,927","15,337","3,491","630.7","6.3","80.0","174.6","369.8","3,660.4","759.2","2,363.2","537.9"
"2014","Denver, CO","665,353","4,002","31","471","1,088","2,412","22,405","4,558","14,404","3,443","601.5","4.7","70.8","163.5","362.5","3,367.4","685.0","2,164.9","517.5"
"2001","Washington, DC","571,822","9,928","232","188","3,940","5,568","34,113","5,009","21,434","7,670","1,736.2","40.6","32.9","689.0","973.7","5,965.7","876.0","3,748.4","1,341.3"
"2002","Washington, DC","570,898","9,109","262","262","3,731","4,854","35,238","5,167","20,903","9,168","1,595.6","45.9","45.9","653.5","850.2","6,172.4","905.1","3,661.4","1,605.9"
"2003","Washington, DC","563,384","8,839","248","273","3,836","4,482","31,581","4,670","17,362","9,549","1,568.9","44.0","48.5","680.9","795.5","5,605.6","828.9","3,081.7","1,694.9"
"2004","Washington, DC","553,523","7,336","198","218","3,057","3,863","25,835","3,943","13,756","8,136","1,325.3","35.8","39.4","552.3","697.9","4,667.4","712.3","2,485.2","1,469.9"
"2005","Washington, DC","550,521","7,716","195","165","3,502","3,854","25,200","3,571","14,162","7,467","1,401.6","35.4","30.0","636.1","700.1","4,577.5","648.7","2,572.5","1,356.4"
"2006","Washington, DC","581,530","8,408","169","182","3,604","4,453","26,015","3,826","15,132","7,057","1,445.8","29.1","31.3","619.7","765.7","4,473.5","657.9","2,602.1","1,213.5"
"2007","Washington, DC","588,292","7,924","181","192","3,985","3,566","27,719","3,920","16,476","7,323","1,347.0","30.8","32.6","677.4","606.2","4,711.8","666.3","2,800.7","1,244.8"
"2008","Washington, DC","591,833","8,135","186","186","4,154","3,609","28,759","3,781","18,787","6,191","1,374.5","31.4","31.4","701.9","609.8","4,859.3","638.9","3,174.4","1,046.1"
"2009","Washington, DC","599,657","7,587","144","150","3,998","3,295","27,007","3,696","18,012","5,299","1,265.2","24.0","25.0","666.7","549.5","4,503.7","616.4","3,003.7","883.7"
"2010","Washington, DC","601,723","7,468","132","184","3,914","3,238","27,138","4,224","18,050","4,864","1,241.1","21.9","30.6","650.5","538.1","4,510.0","702.0","2,999.7","808.3"
"2011","Washington, DC","617,996","6,985","108","172","3,756","2,949","28,312","3,849","20,124","4,339","1,130.3","17.5","27.8","607.8","477.2","4,581.3","622.8","3,256.3","702.1"
"2012","Washington, DC","632,323","7,448","88","236","3,725","3,399","29,264","3,519","22,196","3,549","1,177.9","13.9","37.3","589.1","537.5","4,628.0","556.5","3,510.2","561.3"
"2013","Washington, DC","646,449","7,880","103","393","3,660","3,724","29,569","3,314","23,108","3,147","1,219.0","15.9","60.8","566.2","576.1","4,574.1","512.6","3,574.6","486.8"
"2014","Washington, DC","658,893","7,810","105","470","3,231","4,004","33,027","3,463","25,881","3,683","1,185.3","15.9","71.3","490.4","607.7","5,012.5","525.6","3,928.0","559.0"
"2001","Jacksonville, FL","754,679","7,388","75","287","2,195","4,831","43,862","9,903","28,827","5,132","979.0","9.9","38.0","290.9","640.1","5,812.0","1,312.2","3,819.8","680.0"
"2002","Jacksonville, FL","769,253","7,043","90","277","2,016","4,660","43,978","9,173","29,391","5,414","915.6","11.7","36.0","262.1","605.8","5,717.0","1,192.5","3,820.7","703.8"
"2003","Jacksonville, FL","776,417","6,729","92","213","2,344","4,080","43,791","8,910","30,043","4,838","866.7","11.8","27.4","301.9","525.5","5,640.1","1,147.6","3,869.4","623.1"
"2004","Jacksonville, FL","790,972","6,533","104","209","2,223","3,997","43,238","9,066","29,448","4,724","825.9","13.1","26.4","281.0","505.3","5,466.4","1,146.2","3,723.0","597.2"
"2005","Jacksonville, FL","795,259","6,600","91","189","2,253","4,067","43,517","8,998","29,583","4,936","829.9","11.4","23.8","283.3","511.4","5,472.1","1,131.5","3,719.9","620.7"
"2006","Jacksonville, FL","795,822","6,663","110","218","2,304","4,031","43,103","9,615","29,167","4,321","837.2","13.8","27.4","289.5","506.5","5,416.2","1,208.2","3,665.0","543.0"
"2007","Jacksonville, FL","797,350","8,146","123","249","3,114","4,660","45,416","11,115","29,484","4,817","1,021.6","15.4","31.2","390.5","584.4","5,695.9","1,394.0","3,697.7","604.1"
"2008","Jacksonville, FL","806,080","8,032","115","262","2,938","4,717","46,198","12,012","30,157","4,029","996.4","14.3","32.5","364.5","585.2","5,731.2","1,490.2","3,741.2","499.8"
"2009","Jacksonville, FL","810,064","6,772","99","218","2,359","4,096","41,781","11,306","27,754","2,721","836.0","12.2","26.9","291.2","505.6","5,157.7","1,395.7","3,426.1","335.9"
"2010","Jacksonville, FL","823,209","5,469","80","316","1,693","3,380","37,424","9,588","25,863","1,973","664.4","9.7","38.4","205.7","410.6","4,546.1","1,164.7","3,141.7","239.7"
"2011","Jacksonville, FL","834,429","5,182","71","350","1,578","3,183","36,113","8,518","25,733","1,862","621.0","8.5","41.9","189.1","381.5","4,327.9","1,020.8","3,083.9","223.1"
"2012","Jacksonville, FL","840,660","5,189","93","341","1,371","3,384","34,674","7,632","25,403","1,639","617.3","11.1","40.6","163.1","402.5","4,124.6","907.9","3,021.8","195.0"
"2013","Jacksonville, FL","845,745","5,246","93","452","1,424","3,277","33,007","7,069","24,361","1,577","620.3","11.0","53.4","168.4","387.5","3,902.7","835.8","2,880.4","186.5"
"2014","Jacksonville, FL","856,021","5,853","96","479","1,419","3,859","33,732","6,806","24,945","1,981","683.7","11.2","56.0","165.8","450.8","3,940.6","795.1","2,914.1","231.4"
"2001","Honolulu, HI","885,605","2,453","20","293","999","1,141","45,989","7,340","33,052","5,597","277.0","2.3","33.1","112.8","128.8","5,192.9","828.8","3,732.1","632.0"
"2002","Honolulu, HI","900,433","2,601","18","304","1,072","1,207","54,670","8,932","37,250","8,488","288.9","2.0","33.8","119.1","134.0","6,071.5","992.0","4,136.9","942.7"
"2003","Honolulu, HI","905,301","2,606","15","266","989","1,336","48,306","7,967","32,086","8,253","287.9","1.7","29.4","109.2","147.6","5,335.9","880.0","3,544.2","911.6"
"2004","Honolulu, HI","906,589","2,507","26","222","818","1,441","44,121","7,240","29,512","7,369","276.5","2.9","24.5","90.2","158.9","4,866.7","798.6","3,255.3","812.8"
"2005","Honolulu, HI","908,521","2,570","15","234","841","1,480","42,383","6,209","29,376","6,798","282.9","1.7","25.8","92.6","162.9","4,665.1","683.4","3,233.4","748.2"
"2006","Honolulu, HI","912,693","2,745","17","229","956","1,543","38,310","5,482","26,540","6,288","300.8","1.9","25.1","104.7","169.1","4,197.5","600.6","2,907.9","689.0"
"2007","Honolulu, HI","905,903","2,613","19","226","943","1,425","37,197","5,777","26,483","4,937","288.4","2.1","24.9","104.1","157.3","4,106.1","637.7","2,923.4","545.0"
"2008","Honolulu, HI","906,349","2,575","18","203","928","1,426","31,781","6,370","21,473","3,938","284.1","2.0","22.4","102.4","157.3","3,506.5","702.8","2,369.2","434.5"
"2009","Honolulu, HI","907,124","2,537","14","243","869","1,411","33,375","5,999","23,647","3,729","279.7","1.5","26.8","95.8","155.5","3,679.2","661.3","2,606.8","411.1"
"2010","Honolulu, HI","953,297","2,548","19","218","891","1,420","31,668","5,760","22,007","3,901","267.3","2.0","22.9","93.5","149.0","3,321.9","604.2","2,308.5","409.2"
"2011","Honolulu, HI","963,465","1,029","7","95","371","556","12,399","2,173","8,862","1,364","","","","","","","","",""
"2012","Honolulu, HI","975,875","566","5","40","206","315","7,169","1,243","5,297","629","","","","","","","","",""
"2013","Honolulu, HI","984,683","1,135","10","121","362","642","15,755","2,405","11,568","1,782","","","","","","","","",""
"2014","Honolulu, HI","994,034","714","7","80","254","373","10,479","1,526","7,588","1,365","","","","","","","","",""
"2001","Indianapolis, IN","798,251","7,428","112","442","2,787","4,087","33,630","9,043","18,224","6,363","930.5","14.0","55.4","349.1","512.0","4,213.0","1,132.9","2,283.0","797.1"
"2002","Indianapolis, IN","804,034","7,518","112","441","2,937","4,028","40,985","9,662","24,821","6,502","935.0","13.9","54.8","365.3","501.0","5,097.4","1,201.7","3,087.1","808.7"
"2003","Indianapolis, IN","800,167","7,067","105","420","2,828","3,714","45,386","10,062","27,891","7,433","883.2","13.1","52.5","353.4","464.2","5,672.1","1,257.5","3,485.6","928.9"
"2004","Indianapolis, IN","800,589","7,067","109","479","2,763","3,716","46,998","10,920","28,364","7,714","882.7","13.6","59.8","345.1","464.2","5,870.4","1,364.0","3,542.9","963.5"
"2005","Indianapolis, IN","800,304","7,948","108","527","3,274","4,039","50,081","11,548","29,541","8,992","993.1","13.5","65.8","409.1","504.7","6,257.7","1,443.0","3,691.2","1,123.6"
"2006","Indianapolis, IN","800,969","7,689","140","549","3,249","3,751","49,599","11,734","28,929","8,936","960.0","17.5","68.5","405.6","468.3","6,192.4","1,465.0","3,611.8","1,115.6"
"2007","Indianapolis, IN","797,268","9,841","114","505","4,046","5,176","50,289","13,385","29,224","7,680","1,234.3","14.3","63.3","507.5","649.2","6,307.7","1,678.9","3,665.5","963.3"
"2008","Indianapolis, IN","808,329","9,735","114","475","4,023","5,123","49,177","14,267","28,466","6,444","1,204.3","14.1","58.8","497.7","633.8","6,083.8","1,765.0","3,521.6","797.2"
"2009","Indianapolis, IN","813,471","9,759","99","460","3,929","5,271","47,419","15,217","27,717","4,485","1,199.7","12.2","56.5","483.0","648.0","5,829.2","1,870.6","3,407.3","551.3"
