"Year","City","Violent Crime Total","Murder and Nonnegligent Manslaughter","Rape","Robbery","Aggravated Assault","Property Crime Total","Burglary","Larceny-Theft","Motor Vehicle Theft"
"2003","Honolulu, HI","906","22","94","322","468","4,499","3,373","722"
"2004","Honolulu, HI","894","38","60","234","562","3,765","2,954","543"
"2005","Honolulu, HI","851","27","76","248","500","3,650","2,889","533"
"2006","Honolulu, HI","965","22","83","276","584","3,090","2,322","492"
"2007","Honolulu, HI","989","29","78","310","572","3,476","2,716","454"
"2008","Honolulu, HI","1,008","12","68","350","578","3,013","2,371","291"
"2009","Honolulu, HI","1,070","13","98","352","607","3,734","3,098","338"
"2010","Honolulu, HI","1,028","18","79","311","620","3,695","3,065","310"
"2011","Honolulu, HI","1,047","16","93","359","579","3,783","3,177","259"
"2012","Honolulu, HI","953","9","69","335","540","3,939","3,324","272"
"2013","Honolulu, HI"
"2014","Honolulu, HI"
"2001","Chicago, IL","10,604","558","703","3,168","6,175","38,418","23,939","10,687"
"2002","Chicago, IL","9,885","520","630","2,995","5,740","31,605","18,487","9,542"
"2003","Chicago, IL","9,570","472","603","2,909","5,586","29,111","17,244","8,402"
"2004","Chicago, IL","9,525","433","561","2,914","5,617","26,615","16,080","7,409"
"2005","Chicago, IL","9,694","383","543","3,081","5,687","24,849","14,896","7,011"
"2006","Chicago, IL","8,505","310","- 1","3,199","4,996","22,006","13,352","5,781"
"2007","Chicago, IL","8,403","354","506","2,785","4,758","20,770","12,840","5,129"
"2008","Chicago, IL","8,349","344","444","2,832","4,729","21,870","14,628","4,513"
"2009","Chicago, IL","7,894","363","450","2,757","4,324","20,725","14,056","3,832"
"2010","Chicago, IL","7,188","248","421","2,511","4,008","17,939","12,266","3,118"
"2011","Chicago, IL","6,559","272","399","2,405","3,483","17,738","12,682","2,609"
"2012","Chicago, IL","6,331","311","373","2,397","3,250","17,194","12,635","2,381"
"2013","Chicago, IL","~","354","~","2,466","2,882","15,798","11,485","2,481"
"2014","Chicago, IL","~","322","~","1,996","1,650","14,047","9,891","2,540"
"2001","Fort Wayne, IN","832","8","10","54","760","1,607","1,479","64"
"2002","Fort Wayne, IN","892","16","10","63","803","1,411","1,239","68"
"2003","Fort Wayne, IN","946","6","11","55","874","1,422","1,255","48"
